epoch,accuracy,loss,val_accuracy,val_loss
0,0.49435714,0.7200848801476615,0.5738571286201477,0.6776780469076974
1,0.56457144,0.6832147348948887,0.6355714201927185,0.6390372188772474
2,0.60635716,0.6566028463840484,0.6662142872810364,0.6153435612746647
3,0.63764286,0.6334690996578761,0.6947143077850342,0.5869055713244847
4,0.6585,0.6099430083547319,0.7209285497665405,0.5602842819350107
5,0.6755,0.5881351905550275,0.7209285497665405,0.5518287530285971
6,0.6991429,0.5682283815656389,0.7605000138282776,0.5047475887707301
7,0.709,0.5511878586837223,0.765500009059906,0.4955441086462566
8,0.7242143,0.5299383873598916,0.7500714063644409,0.4965888470922198
9,0.7369286,0.5110877033982958,0.8202142715454102,0.43950140833854673
10,0.75464284,0.4890319115434374,0.8126428723335266,0.4273886054073061
11,0.758,0.4778091905627932,0.8356428742408752,0.407348908168929
12,0.77692854,0.4566947122641972,0.8575714230537415,0.3737243232386453
13,0.77835715,0.444467204775129,0.8130714297294617,0.3942888501541955
14,0.7945714,0.42556375762394494,0.8783571720123291,0.3373111825840814
15,0.7979286,0.41723948056357246,0.8701428771018982,0.33066898752110346
16,0.8100714,0.40238090063844406,0.8949999809265137,0.30657756892272403
17,0.8141429,0.3908365942069462,0.8774999976158142,0.3077328875831195
18,0.8222857,0.3772146033985274,0.9157142639160156,0.26909034801380977
19,0.8295714,0.3686332344497953,0.9350000023841858,0.25233444014617373
20,0.8347143,0.35691092254434315,0.8660714030265808,0.2930622549567904
21,0.84414285,0.34305030438729694,0.9110714197158813,0.256632708796433
22,0.8467857,0.3387895599263055,0.9487142562866211,0.2214322441305433
23,0.84657145,0.33729522223131997,0.8904285430908203,0.25757876423427034
24,0.8568571,0.32235255380187716,0.9162856936454773,0.23269343465566636
25,0.86035717,0.312485066894974,0.8502857089042664,0.3109632788513388
26,0.8626429,0.3092640936885561,0.8631428480148315,0.29979920603973526
27,0.8700714,0.29543172198108264,0.9635000228881836,0.17273364043661527
28,0.87207144,0.2926710360731397,0.7374285459518433,0.524478586345911
29,0.8784286,0.2784156113777842,0.9379285573959351,0.19122804925271442
30,0.87864286,0.2784055825855051,0.9744285941123962,0.1457216923066548
31,0.88935715,0.2574982457416398,0.9636428356170654,0.15365609209878103
32,0.8907143,0.257315408966371,0.9739999771118164,0.13890574602569852
33,0.8906429,0.2582174210505826,0.9690714478492737,0.14187248450943402
34,0.89257145,0.2578980482199362,0.974142849445343,0.13184830204929623
35,0.895,0.2514966446374144,0.9829285740852356,0.11194883242249488
36,0.8964286,0.24413438181791985,0.9747142791748047,0.12558109390522754
37,0.89921427,0.23586847421952656,0.8191428780555725,0.3220508391857147
